itching,skin_rash,chills,vomiting,fatigue,prognosis,probability
0,0,0,0,0,allergy,0.1
0,0,0,0,1,allergy,0
0,0,0,1,0,allergy,0
0,0,0,1,1,allergy,0
0,0,1,0,0,allergy,0.9
0,0,1,0,1,allergy,0
0,0,1,1,0,allergy,0
0,0,1,1,1,allergy,0
0,1,0,0,0,allergy,0
0,1,0,0,1,allergy,0
0,1,0,1,0,allergy,0
0,1,0,1,1,allergy,0
0,1,1,0,0,allergy,0
0,1,1,0,1,allergy,0
0,1,1,1,0,allergy,0
0,1,1,1,1,allergy,0
1,0,0,0,0,allergy,0
1,0,0,0,1,allergy,0
1,0,0,1,0,allergy,0
1,0,0,1,1,allergy,0
1,0,1,0,0,allergy,0
1,0,1,0,1,allergy,0
1,0,1,1,0,allergy,0
1,0,1,1,1,allergy,0
1,1,0,0,0,allergy,0
1,1,0,0,1,allergy,0
1,1,0,1,0,allergy,0
1,1,0,1,1,allergy,0
1,1,1,0,0,allergy,0
1,1,1,0,1,allergy,0
1,1,1,1,0,allergy,0
1,1,1,1,1,allergy,0
