itching,skin_rash,chills,vomiting,fatigue,prognosis,probability
0,0,0,0,0,common cold,0
0,0,0,0,1,common cold,0.05
0,0,0,1,0,common cold,0
0,0,0,1,1,common cold,0
0,0,1,0,0,common cold,0.05
0,0,1,0,1,common cold,0.9
0,0,1,1,0,common cold,0
0,0,1,1,1,common cold,0
0,1,0,0,0,common cold,0
0,1,0,0,1,common cold,0
0,1,0,1,0,common cold,0
0,1,0,1,1,common cold,0
0,1,1,0,0,common cold,0
0,1,1,0,1,common cold,0
0,1,1,1,0,common cold,0
0,1,1,1,1,common cold,0
1,0,0,0,0,common cold,0
1,0,0,0,1,common cold,0
1,0,0,1,0,common cold,0
1,0,0,1,1,common cold,0
1,0,1,0,0,common cold,0
1,0,1,0,1,common cold,0
1,0,1,1,0,common cold,0
1,0,1,1,1,common cold,0
1,1,0,0,0,common cold,0
1,1,0,0,1,common cold,0
1,1,0,1,0,common cold,0
1,1,0,1,1,common cold,0
1,1,1,0,0,common cold,0
1,1,1,0,1,common cold,0
1,1,1,1,0,common cold,0
1,1,1,1,1,common cold,0
