itching,skin_rash,chills,vomiting,fatigue,prognosis,probability
0,0,0,0,0,drug reaction,0
0,0,0,0,1,drug reaction,0
0,0,0,1,0,drug reaction,0
0,0,0,1,1,drug reaction,0
0,0,1,0,0,drug reaction,0
0,0,1,0,1,drug reaction,0
0,0,1,1,0,drug reaction,0
0,0,1,1,1,drug reaction,0
0,1,0,0,0,drug reaction,0.05
0,1,0,0,1,drug reaction,0
0,1,0,1,0,drug reaction,0
0,1,0,1,1,drug reaction,0
0,1,1,0,0,drug reaction,0
0,1,1,0,1,drug reaction,0
0,1,1,1,0,drug reaction,0
0,1,1,1,1,drug reaction,0
1,0,0,0,0,drug reaction,0.1
1,0,0,0,1,drug reaction,0
1,0,0,1,0,drug reaction,0
1,0,0,1,1,drug reaction,0
1,0,1,0,0,drug reaction,0
1,0,1,0,1,drug reaction,0
1,0,1,1,0,drug reaction,0
1,0,1,1,1,drug reaction,0
1,1,0,0,0,drug reaction,0.85
1,1,0,0,1,drug reaction,0
1,1,0,1,0,drug reaction,0
1,1,0,1,1,drug reaction,0
1,1,1,0,0,drug reaction,0
1,1,1,0,1,drug reaction,0
1,1,1,1,0,drug reaction,0
1,1,1,1,1,drug reaction,0
